cpu_time,cpu_usage,h:m:s,io_in,io_out,jobid,max_pss,max_rss,max_uss,max_vms,mean_load,rule_name,s,threads,genome,library,maxlength,nrows,operation,status
16.21,1306.7711796045303,0:00:13,139.91909313201904,0.0008182525634765,0,1248.8828125,1257.19140625,1243.9375,4994.90234375,97.27591692165012,binary_r,13.4337,1,proteome,genomicranges,1000,1_000_000,intersection,ok
116.15,11330.06299304962,0:03:15,1224.318567276001,0.0008182525634765,0,21365.875,21368.46875,21365.2109375,26303.9296875,58.07432299286702,binary_r,195.0959,1,proteome,genomicranges,1000,10_000_000,intersection,ok
7.859999999999999,476.0529574871064,0:00:05,64.29545021057129,0.0008182525634765,0,753.654296875,762.0,749.4296875,4500.1328125,84.73770196179852,binary_r,5.618,1,hg38,genomicranges,10,10_000,subtract,ok
8.45,531.8935157060623,0:00:06,69.29519462585449,0.0008182525634765,0,806.416015625,836.05859375,787.66015625,4571.765625,85.51303978900587,binary_r,6.22,1,hg38,genomicranges,10,100_000,subtract,ok
11.73,865.6499123811722,0:00:09,110.21265125274658,0.0008182525634765,0,927.0234375,956.484375,908.18359375,4691.52734375,95.91524485155456,binary_r,9.0252,1,hg38,genomicranges,10,1_000_000,subtract,ok
18.96,1587.0863942623137,0:00:30,355.1676902770996,0.0008182525634765,0,1451.9873046875,1460.16015625,1447.78515625,5236.30859375,51.4186572005022,binary_r,30.866,1,hg38,genomicranges,10,10_000_000,subtract,ok
7.899999999999999,476.9403176546096,0:00:05,64.29154396057129,0.0008182525634765,0,753.7890625,762.03515625,749.56640625,4500.1328125,84.89597684351949,binary_r,5.6179,1,hg38,genomicranges,100,10_000,subtract,ok
9.06,588.9713066577912,0:00:06,69.30233478546143,0.0008182525634765,0,836.1826171875,845.45703125,831.41796875,4584.09375,93.19706722858244,binary_r,6.3196,1,hg38,genomicranges,100,100_000,subtract,ok
11.19,805.6992312431335,0:00:08,136.83942794799805,0.0008182525634765,0,948.853515625,956.7734375,944.71875,4695.11328125,90.2791679227155,binary_r,8.9245,1,hg38,genomicranges,100,1_000_000,subtract,ok
19.18,1597.9933809518814,0:00:33,292.0478582382202,0.0008182525634765,0,1447.4951171875,1440.90234375,1428.72265625,5212.41796875,47.87201926565801,binary_r,33.3805,1,hg38,genomicranges,100,10_000_000,subtract,ok
8.61,544.6920248508453,0:00:05,65.20278739929199,0.0008182525634765,0,817.828125,826.2890625,813.30078125,4564.33984375,91.97770068383689,binary_r,5.922,1,hg38,genomicranges,1000,10_000,subtract,ok
8.97,584.980283689499,0:00:06,71.8374834060669,0.0014905929565429,0,845.59765625,853.8828125,841.26953125,4593.38671875,92.57228702623388,binary_r,6.3192,1,hg38,genomicranges,1000,100_000,subtract,ok
11.73,860.1028380155564,0:00:08,137.7723617553711,0.0008182525634765,0,956.7421875,964.89453125,952.5078125,4702.85546875,96.37654914444715,binary_r,8.9244,1,hg38,genomicranges,1000,1_000_000,subtract,ok
19.07,1599.9847275972368,0:00:33,362.8096513748169,0.0008182525634765,0,1452.0380859375,1460.234375,1447.82421875,5236.34765625,48.24329092927428,binary_r,33.1649,1,hg38,genomicranges,1000,10_000_000,subtract,ok
7.919999999999999,482.1136549472809,0:00:05,64.74042129516602,0.0008182525634765,0,788.1689453125,797.1015625,783.37890625,4535.453125,85.80513007544505,binary_r,5.6187,1,proteome,genomicranges,10,10_000,subtract,ok
8.959999999999999,582.981354522705,0:00:06,69.66312599182129,0.0008182525634765,0,832.2060546875,862.0703125,813.4140625,4596.796875,88.05895969107495,binary_r,6.6204,1,proteome,genomicranges,10,100_000,subtract,ok
14.4,1130.9462884902955,0:00:11,113.91238498687744,0.0008182525634765,0,1017.7861328125,1026.609375,1012.8984375,4764.453125,97.23617556130884,binary_r,11.6309,1,proteome,genomicranges,10,1_000_000,subtract,ok
48.99,4594.440552282334,0:00:48,556.3641958236694,0.0008182525634765,0,1997.7451171875,2005.58203125,1993.6484375,5744.08984375,95.33706269003645,binary_r,48.1915,1,proteome,genomicranges,10,10_000_000,subtract,ok
7.949999999999999,478.1283570528031,0:00:05,64.29154396057129,0.0008182525634765,0,753.421875,761.63671875,749.0859375,4499.828125,83.61380947524594,binary_r,5.7183,1,proteome,genomicranges,100,10_000,subtract,ok
11.470000000000002,831.4031384468078,0:00:09,69.6908311843872,0.0008182525634765,0,851.3046875,859.85546875,846.83984375,4597.13671875,92.0492448660117,binary_r,9.0322,1,proteome,genomicranges,100,100_000,subtract,ok
14.54,1143.1169364690782,0:00:11,114.14088249206544,0.0008182525634765,0,1017.63671875,1047.04296875,998.84375,4781.8203125,96.6306765792025,binary_r,11.8298,1,proteome,genomicranges,100,1_000_000,subtract,ok
48.95,4584.578364300727,0:00:47,558.6861696243286,0.0008182525634765,0,2016.4560546875,2025.3359375,2011.68359375,5877.08203125,95.52988056879188,binary_r,47.991,1,proteome,genomicranges,100,10_000_000,subtract,ok
7.94,481.06986062526704,0:00:05,64.30326271057129,0.0008182525634765,0,752.50390625,762.2578125,747.890625,4500.0546875,84.10688018393398,binary_r,5.7197,1,proteome,genomicranges,1000,10_000,subtract,ok
9.0,588.6249785900116,0:00:06,69.7594690322876,0.0008182525634765,0,820.8935546875,830.890625,816.01171875,4569.03125,87.56692716310026,binary_r,6.722,1,proteome,genomicranges,1000,100_000,subtract,ok
13.86,1078.8086598396303,0:00:11,114.82136344909668,0.0008182525634765,0,1021.87890625,1032.29296875,1017.71484375,4774.78515625,96.071948280554,binary_r,11.2292,1,proteome,genomicranges,1000,1_000_000,subtract,ok
18.880000000000003,1565.8064613103863,0:00:43,454.0358972549439,0.0008182525634765,0,1204.4033203125,1211.625,1200.26953125,4962.09375,35.68334270051634,binary_r,43.8806,1,proteome,genomicranges,1000,10_000_000,subtract,ok
7.87,478.8382473230362,0:00:05,64.34492683410645,0.0008182525634765,0,769.322265625,777.3671875,765.21875,4515.76953125,88.30790703173666,unary_r,5.4224,1,hg38,genomicranges,10,10_000,merge,ok
7.9,478.8383209466935,0:00:05,67.01753997802734,0.0008182525634765,0,804.087890625,833.71484375,785.26171875,4569.953125,90.03305174527917,unary_r,5.3185,1,hg38,genomicranges,10,100_000,merge,ok
10.2,710.4950950622559,0:00:07,87.4699010848999,0.0008182525634765,0,844.06640625,873.796875,825.234375,4609.0703125,89.61460483246012,unary_r,7.9283,1,hg38,genomicranges,10,1_000_000,merge,ok
18.9,1586.7726839780803,0:00:18,292.04623794555664,0.0008182525634765,0,1575.986328125,1586.5,1571.16015625,5359.28125,85.12174870153466,unary_r,18.6412,1,hg38,genomicranges,10,10_000_000,merge,ok
7.86,478.9411174535751,0:00:05,64.34883308410645,0.0008182525634765,0,775.494140625,784.48046875,770.8671875,4522.87109375,88.3641114804634,unary_r,5.4201,1,hg38,genomicranges,100,10_000,merge,ok
8.01,483.5472430944444,0:00:05,64.29509162902832,0.0008182525634765,0,721.814453125,730.85546875,717.06640625,4469.1796875,83.07135981715115,unary_r,5.8209,1,hg38,genomicranges,100,100_000,merge,ok
9.46,637.8984364748001,0:00:07,87.4698715209961,0.0008182525634765,0,850.9453125,882.6953125,832.171875,4619.60546875,89.55062902729152,unary_r,7.1233,1,hg38,genomicranges,100,1_000_000,merge,ok
19.0,1587.280812907219,0:00:18,292.04749965667725,0.0008182525634765,0,1540.4306640625,1548.765625,1536.3203125,5286.8203125,84.69771476892058,unary_r,18.7405,1,hg38,genomicranges,100,10_000_000,merge,ok
